2017-05-08 00:00:00 -0.48625        34.03
2017-05-09 00:00:00 -0.50383       34.033
2017-05-10 00:00:00 -0.53679       34.033
2017-05-11 00:00:00 -0.56829       34.034
2017-05-12 00:00:00 -0.60051       34.048
2017-05-13 00:00:00 -0.64153       34.051
2017-05-14 00:00:00 -0.68694       34.057
2017-05-15 00:00:00 -0.73821        34.06
2017-05-16 00:00:00 -0.76385       34.057
2017-05-17 00:00:00 -0.76678        34.04
2017-05-18 00:00:00 -0.75652       34.021
2017-05-19 00:00:00 -0.79974       34.027
2017-05-20 00:00:00 -0.88836       34.036
2017-05-21 00:00:00 -0.96234       34.039
2017-05-22 00:00:00  -1.0722       34.027
2017-05-23 00:00:00  -1.2685        33.99
2017-05-24 00:00:00  -1.3344       33.984
2017-05-25 00:00:00  -1.2685       34.024
2017-05-26 00:00:00  -1.2363       34.057
2017-05-27 00:00:00  -1.2194       34.069
2017-05-28 00:00:00  -1.2634       34.068
2017-05-29 00:00:00  -1.2634       34.069
2017-05-30 00:00:00  -1.2868       34.069
2017-05-31 00:00:00  -1.3124       34.072
2017-06-01 00:00:00  -1.3374       34.072
2017-06-02 00:00:00  -1.3725       34.069
2017-06-03 00:00:00  -1.4135        34.06
2017-06-04 00:00:00  -1.4296       34.056
2017-06-05 00:00:00  -1.4531       34.054
2017-06-06 00:00:00   -1.489       34.051
2017-06-07 00:00:00  -1.5278       34.048
2017-06-08 00:00:00  -1.5593       34.046
2017-06-09 00:00:00  -1.5747       34.053
2017-06-10 00:00:00  -1.5827       34.065
2017-06-11 00:00:00  -1.5842        34.08
2017-06-12 00:00:00  -1.5878       34.095
2017-06-13 00:00:00  -1.5937         34.1
2017-06-14 00:00:00  -1.6025       34.095
2017-06-15 00:00:00  -1.6391        34.08
2017-06-16 00:00:00  -1.6552       34.077
2017-06-17 00:00:00  -1.6494       34.082
2017-06-18 00:00:00  -1.6193         34.1
2017-06-19 00:00:00  -1.5996       34.115
2017-06-20 00:00:00  -1.5886       34.121
2017-06-21 00:00:00  -1.5981       34.118
2017-06-22 00:00:00   -1.601       34.114
2017-06-23 00:00:00  -1.5813       34.104
2017-06-24 00:00:00  -1.5849       34.094
2017-06-25 00:00:00  -1.6128       34.083
2017-06-26 00:00:00  -1.6406       34.075
2017-06-27 00:00:00  -1.6604       34.069
2017-06-28 00:00:00  -1.6713       34.066
2017-06-29 00:00:00  -1.6801       34.065
2017-06-30 00:00:00  -1.6713       34.065
2017-07-01 00:00:00  -1.6889       34.065
2017-07-02 00:00:00  -1.6984       34.066
2017-07-03 00:00:00  -1.7131       34.068
2017-07-04 00:00:00  -1.7292       34.072
2017-07-05 00:00:00  -1.7431       34.075
